cik,company,sic,fts_date,item103_date,item103_accession,source_url,petition_date,date_basis,total_assets,periodic_filings_before,last_periodic,has_item103,has_chapter11_text,has_chapter7_text,verdict,reasons
1415404,EchoStar CORP,4899,2026-08-03,2026-08-03,0001415404-26-000038,https://www.sec.gov/Archives/edgar/data/1415404/000141540426000038/sats-20260728x8k.htm,2026-08-02,petition_date_from_8k_text,41375692000.0,74,2026-05-11,True,True,False,confirmed,
1813756,WeWork Inc.,6512,2023-11-07,2023-11-07,0001193125-23-271902,https://www.sec.gov/Archives/edgar/data/1813756/000119312523271902/d522028d8k.htm,2023-11-06,petition_date_from_8k_text,15063000000.0,13,2023-08-08,True,True,False,confirmed,
1772695,Sunnova Energy International Inc.,4931,2025-06-09,2025-06-09,0001772695-25-000105,https://www.sec.gov/Archives/edgar/data/1772695/000177269525000105/nova-20250608.htm,2025-06-08,petition_date_from_8k_text,13353699000.0,23,2025-03-03,True,True,False,confirmed,
1525773,Intelsat S.A.,4899,2021-12-20,2021-12-20,0001193125-21-362431,https://www.sec.gov/Archives/edgar/data/1525773/000119312521362431/d274948d8k.htm,2021-12-20,8k_filing_date_fallback,13253070000.0,8,2021-11-05,True,True,False,confirmed,
1498710,"Spirit Aviation Holdings, Inc.",4512,2024-11-18,2024-11-18,0000950103-24-016405,https://www.sec.gov/Archives/edgar/data/1498710/000095010324016405/dp220813_8k.htm,2024-11-18,8k_filing_date_fallback,9559456000.0,53,2024-08-01,True,True,False,confirmed,
1567892,Keenova Therapeutics plc,2834,2022-05-03,2022-05-03,0001193125-22-138759,https://www.sec.gov/Archives/edgar/data/1567892/000119312522138759/d232880d8k.htm,2022-05-03,8k_filing_date_fallback,8916300000.0,34,2022-03-15,True,True,True,confirmed,
1254699,"QVC Group, Inc.",5961,2026-04-17,2026-04-17,0001104659-26-044600,https://www.sec.gov/Archives/edgar/data/1254699/000110465926044600/tm2611636d1_8k.htm,2026-04-16,petition_date_from_8k_text,8456000000.0,53,2026-04-15,True,True,False,confirmed,
1166126,"Old COPPER Company, Inc.",5311,2021-02-01,2021-02-01,0001193125-21-023867,https://www.sec.gov/Archives/edgar/data/1166126/000119312521023867/d123081d8k.htm,2021-02-01,8k_filing_date_fallback,8134000000.0,76,2020-12-10,True,True,False,confirmed,
84129,"NEW RITE AID, LLC",5912,2023-10-16,2023-10-16,0001104659-23-109413,https://www.sec.gov/Archives/edgar/data/84129/000110465923109413/tm2328535d1_8ka.htm,2023-10-15,petition_date_from_8k_text,7650418000.0,115,2023-07-11,True,True,True,confirmed,
1355096,"Old QVC Group, Inc.",5961,2026-04-17,2026-04-17,0001104659-26-044521,https://www.sec.gov/Archives/edgar/data/1355096/000110465926044521/tm2611635d1_8k.htm,2026-04-16,petition_date_from_8k_text,7643000000.0,79,2026-04-15,True,True,False,confirmed,
895419,"WOLFSPEED, INC.",3674,2025-07-01,2025-07-01,0001193125-25-153145,https://www.sec.gov/Archives/edgar/data/895419/000119312525153145/d755867d8k.htm,2025-06-30,petition_date_from_8k_text,7574200000.0,115,2025-05-09,True,True,False,confirmed,
