cik,company,sic,fts_date,item103_date,item103_accession,source_url,petition_date,date_basis,total_assets,periodic_filings_before,last_periodic,has_item103,has_chapter11_text,has_chapter7_text,verdict,reasons
1004980,PG&E Corp,4931,2018-04-16,2019-01-14,0000950157-19-000032,https://www.sec.gov/Archives/edgar/data/1004980/000095015719000032/form8k.htm,2019-01-14,8k_filing_date_fallback,71385000000.0,85,2018-11-05,True,True,False,confirmed,
1407703,FirstEnergy Solutions Corp.,4911,2018-04-02,2018-04-02,0001193125-18-104000,https://www.sec.gov/Archives/edgar/data/1407703/000119312518104000/d561242d8k.htm,2018-04-02,8k_filing_date_fallback,48738000000.0,42,2018-02-20,True,True,True,confirmed,
1031296,FIRSTENERGY CORP,4911,2018-04-05,2018-04-05,0001031296-18-000024,https://www.sec.gov/Archives/edgar/data/1031296/000103129618000024/a8-kdated04052018.htm,2018-03-31,petition_date_from_8k_text,42257000000.0,80,2018-02-20,True,True,False,confirmed,
1657853,"HERTZ GLOBAL HOLDINGS, INC",7510,2020-05-26,2020-05-26,0001104659-20-065674,https://www.sec.gov/Archives/edgar/data/1657853/000110465920065674/tm2020858d1_8k.htm,2020-05-26,8k_filing_date_fallback,25842000000.0,16,2020-05-11,True,True,False,confirmed,
20520,"Frontier Communications Parent, Inc.",4813,2020-04-15,2020-04-15,0001140361-20-008876,https://www.sec.gov/Archives/edgar/data/20520/000114036120008876/form8k.htm,2020-04-14,petition_date_from_8k_text,17488000000.0,103,2020-03-31,True,True,False,confirmed,
1040719,DITECH HOLDING Corp,6162,2018-01-19,2018-01-19,0001193125-18-013944,https://www.sec.gov/Archives/edgar/data/1040719/000119312518013944/d507541d8k.htm,2018-01-19,8k_filing_date_fallback,14979635000.0,81,2017-11-09,True,True,False,confirmed,
314808,Valaris Ltd,1381,2020-08-19,2020-08-19,0001104659-20-096796,https://www.sec.gov/Archives/edgar/data/314808/000110465920096796/tm2027797d1_8k.htm,2020-08-19,petition_date_from_8k_text,13038900000.0,99,2020-07-30,True,True,False,confirmed,
1400891,"iHeartMedia, Inc.",4832,2018-03-15,2018-03-15,0001193125-18-083055,https://www.sec.gov/Archives/edgar/data/1400891/000119312518083055/d545787d8k.htm,2018-03-15,8k_filing_date_fallback,12257260000.0,38,2017-11-08,True,True,False,confirmed,
1457737,"iHeartMedia Capital I, LLC",4813,2018-03-15,2018-03-15,0001193125-18-083160,https://www.sec.gov/Archives/edgar/data/1457737/000119312518083160/d494465d8k.htm,2018-03-15,8k_filing_date_fallback,12257260000.0,19,2017-11-08,True,True,False,confirmed,
739708,"iHeartCommunications, Inc.",4832,2018-03-15,2018-03-15,0001193125-18-083152,https://www.sec.gov/Archives/edgar/data/739708/000119312518083152/d543531d8k.htm,2018-03-15,8k_filing_date_fallback,12257260000.0,88,2017-11-08,True,True,False,confirmed,
1282266,"WINDSTREAM HOLDINGS, INC.",4813,2019-02-28,2019-02-28,0001282266-19-000005,https://www.sec.gov/Archives/edgar/data/1282266/000128226619000005/a20190228form8-k.htm,2019-02-25,petition_date_from_8k_text,10710100000.0,56,2018-11-08,True,True,False,confirmed,
1567892,Keenova Therapeutics plc,2834,2020-10-13,2020-10-13,0001193125-20-267836,https://www.sec.gov/Archives/edgar/data/1567892/000119312520267836/d942107d8k.htm,2020-10-12,petition_date_from_8k_text,9690100000.0,28,2020-08-04,True,True,True,confirmed,
708819,MCDERMOTT INTERNATIONAL INC,3443,2020-01-22,2020-01-22,0001193125-20-011391,https://www.sec.gov/Archives/edgar/data/708819/000119312520011391/d848917d8k.htm,2020-01-21,petition_date_from_8k_text,8754000000.0,100,2019-11-04,True,True,True,confirmed,
1166126,"Old COPPER Company, Inc.",5311,2020-05-18,2020-05-18,0001193125-20-144411,https://www.sec.gov/Archives/edgar/data/1166126/000119312520144411/d813078d8k.htm,2020-05-15,petition_date_from_8k_text,7989000000.0,73,2020-03-20,True,True,False,confirmed,
1255474,Whiting Holdings LLC,1311,2020-04-01,2020-04-01,0001193125-20-093737,https://www.sec.gov/Archives/edgar/data/1255474/000119312520093737/d899645d8k.htm,2020-04-01,petition_date_from_8k_text,7636721000.0,65,2020-02-27,True,True,False,confirmed,
1458891,Noble Corp,1381,2020-07-31,2020-07-31,0001193125-20-205998,https://www.sec.gov/Archives/edgar/data/1458891/000119312520205998/d85677d8k.htm,2020-07-31,petition_date_from_8k_text,7261099000.0,45,2020-05-07,True,True,False,confirmed,
1310067,SEARS HOLDINGS CORP,5311,2018-10-15,2018-10-15,0001193125-18-298778,https://www.sec.gov/Archives/edgar/data/1310067/000119312518298778/d647911d8k.htm,2018-10-15,petition_date_from_8k_text,6937000000.0,54,2018-09-13,True,True,False,confirmed,
1603923,Weatherford International plc,3533,2019-07-02,2019-07-02,0001104659-19-038767,https://www.sec.gov/Archives/edgar/data/1603923/000110465919038767/a19-12248_28k.htm,2019-07-01,petition_date_from_8k_text,6519000000.0,20,2019-05-10,True,True,False,confirmed,
949039,"DIAMOND OFFSHORE DRILLING, INC.",1381,2020-04-27,2020-04-27,0001193125-20-119819,https://www.sec.gov/Archives/edgar/data/949039/000119312520119819/d901320d8k.htm,2020-04-27,8k_filing_date_fallback,5834044000.0,92,2020-02-11,True,True,False,confirmed,
1334978,"Clear Channel Outdoor Holdings, Inc.",7310,2018-03-15,2018-03-15,0001193125-18-083168,https://www.sec.gov/Archives/edgar/data/1334978/000119312518083168/d494461d8k.htm,2018-03-15,8k_filing_date_fallback,5580488000.0,48,2017-11-08,True,True,False,confirmed,
1609253,California Resources Corp,1311,2020-07-16,2020-07-16,0001609253-20-000114,https://www.sec.gov/Archives/edgar/data/1609253/000160925320000114/a20200715form8k.htm,2020-07-15,petition_date_from_8k_text,4974000000.0,23,2020-06-25,True,True,False,confirmed,
910612,CBL & ASSOCIATES PROPERTIES INC,6798,2020-11-02,2020-11-02,0001564590-20-049434,https://www.sec.gov/Archives/edgar/data/910612/000156459020049434/cbl-8k_20201029.htm,2020-11-02,8k_filing_date_fallback,4655159000.0,98,2020-08-17,True,True,False,confirmed,
945764,DENBURY INC,1311,2020-07-31,2020-07-31,0000945764-20-000066,https://www.sec.gov/Archives/edgar/data/945764/000094576420000066/dnr-20200730x8k.htm,2020-07-31,8k_filing_date_fallback,4607091000.0,93,2020-05-18,True,True,False,confirmed,
1584952,EP Energy Corp,1311,2019-10-04,2019-10-04,0001104659-19-053041,https://www.sec.gov/Archives/edgar/data/1584952/000110465919053041/a19-19406_18k.htm,2019-10-04,8k_filing_date_fallback,4190000000.0,23,2019-08-09,True,True,False,confirmed,
1498301,"Mahwah Bergen Retail Group, Inc.",5600,2020-07-23,2020-07-23,0001104659-20-085810,https://www.sec.gov/Archives/edgar/data/1498301/000110465920085810/tm2024948-1_8k.htm,2020-07-23,petition_date_from_8k_text,3069600000.0,37,2020-03-09,True,True,False,confirmed,
73887,Bristow Group Inc,4522,2019-05-13,2019-05-13,0001193125-19-144723,https://www.sec.gov/Archives/edgar/data/73887/000119312519144723/d740871d8k.htm,2019-05-11,petition_date_from_8k_text,2860804000.0,90,2018-11-09,True,True,True,confirmed,
1655020,"Extraction Oil & Gas, Inc.",1311,2020-06-15,2020-06-15,0001104659-20-073184,https://www.sec.gov/Archives/edgar/data/1655020/000110465920073184/tm2021962-1_8k.htm,2020-06-14,petition_date_from_8k_text,2703388000.0,15,2020-05-11,True,True,False,confirmed,
1131227,HORNBECK OFFSHORE SERVICES INC /LA,4400,2020-05-22,2020-05-22,0001193125-20-150309,https://www.sec.gov/Archives/edgar/data/1131227/000119312520150309/d909640d8k.htm,2020-05-22,8k_filing_date_fallback,2691806000.0,73,2019-11-12,True,True,False,confirmed,
1486159,Chord Energy Corp,1311,2020-09-30,2020-09-30,0001486159-20-000075,https://www.sec.gov/Archives/edgar/data/1486159/000148615920000075/oas-20200929.htm,2020-09-30,petition_date_from_8k_text,2625626000.0,41,2020-08-05,True,True,False,confirmed,
884217,TAILORED BRANDS INC,5600,2020-08-03,2020-08-03,0001104659-20-089351,https://www.sec.gov/Archives/edgar/data/884217/000110465920089351/tm2026332d2_8k.htm,2020-08-02,petition_date_from_8k_text,2500415000.0,96,2020-07-27,True,True,True,confirmed,
1540729,Foresight Energy LP,1220,2019-11-04,2019-11-04,0001564590-19-039499,https://www.sec.gov/Archives/edgar/data/1540729/000156459019039499/felp-8k_20191029.htm,2019-11-04,8k_filing_date_fallback,2386993000.0,21,2019-08-07,True,True,False,confirmed,
1722287,Covia Holdings Corp,1400,2020-06-30,2020-06-30,0001564590-20-031311,https://www.sec.gov/Archives/edgar/data/1722287/000156459020031311/cvia-8k_20200629.htm,2020-06-29,petition_date_from_8k_text,2381057000.0,9,2020-06-29,True,True,False,confirmed,
874499,GULFPORT ENERGY CORP,1311,2020-11-16,2020-11-16,0001213900-20-037077,https://www.sec.gov/Archives/edgar/data/874499/000121390020037077/ea129804-8k_gulfport.htm,2020-11-13,petition_date_from_8k_text,2375559000.0,79,2020-11-09,True,True,False,confirmed,
77281,PENNSYLVANIA REAL ESTATE INVESTMENT TRUST,6798,2020-11-03,2020-11-03,0001193125-20-284830,https://www.sec.gov/Archives/edgar/data/77281/000119312520284830/d44373d8k.htm,2020-11-03,8k_filing_date_fallback,2375550000.0,105,2020-08-11,True,True,False,confirmed,
931336,DEAN FOODS CO,2020,2019-11-12,2019-11-12,0001104659-19-062024,https://www.sec.gov/Archives/edgar/data/931336/000110465919062024/tm1922535-1_8k.htm,2019-11-12,petition_date_from_8k_text,2322297000.0,88,2019-08-08,True,True,False,confirmed,
844143,Centric Brands Inc.,2300,2020-05-18,2020-05-18,0001558370-20-006775,https://www.sec.gov/Archives/edgar/data/844143/000155837020006775/tmb-20200511x8k.htm,2020-05-18,petition_date_from_8k_text,2154673000.0,92,2019-11-14,True,True,False,confirmed,
13239,HEXION INC.,2821,2019-04-01,2019-04-01,0001193125-19-093660,https://www.sec.gov/Archives/edgar/data/13239/000119312519093660/d665230d8k.htm,2019-04-01,8k_filing_date_fallback,2107000000.0,95,2018-11-13,True,True,True,confirmed,
798949,UNIT CORP,1311,2020-05-26,2020-05-26,0000798949-20-000037,https://www.sec.gov/Archives/edgar/data/798949/000079894920000037/unt-20200522.htm,2020-05-22,petition_date_from_8k_text,2090052000.0,101,2020-03-16,True,True,True,confirmed,
34115,CLAIRES STORES INC,5600,2018-03-19,2018-03-19,0001193125-18-086632,https://www.sec.gov/Archives/edgar/data/34115/000119312518086632/d515750d8k.htm,2018-03-19,8k_filing_date_fallback,1988679000.0,90,2017-12-08,True,True,False,confirmed,
939930,"PYXUS INTERNATIONAL, INC.",5150,2020-06-15,2020-06-15,0001193125-20-168377,https://www.sec.gov/Archives/edgar/data/939930/000119312520168377/d944528d8k.htm,2020-06-15,8k_filing_date_fallback,1949047000.0,96,2020-02-10,True,True,False,confirmed,
1022646,ULTRA PETROLEUM CORP,1311,2020-05-15,2020-05-15,0001193125-20-143092,https://www.sec.gov/Archives/edgar/data/1022646/000119312520143092/d892114d8k.htm,2020-05-14,petition_date_from_8k_text,1815276000.0,75,2020-04-15,True,True,False,confirmed,
1282648,BATTALION OIL CORP,1311,2019-08-07,2019-08-07,0001104659-19-044380,https://www.sec.gov/Archives/edgar/data/1282648/000110465919044380/a19-16415_48k.htm,2019-08-07,petition_date_from_8k_text,1798838000.0,52,2019-05-09,True,True,False,confirmed,
1051251,J CREW GROUP INC,5600,2020-05-04,2020-05-04,0001193125-20-131767,https://www.sec.gov/Archives/edgar/data/1051251/000119312520131767/d926140d8k.htm,2020-05-04,8k_filing_date_fallback,1758755000.0,84,2019-12-02,True,True,False,confirmed,
1220754,ModivCare Inc,4700,2020-11-12,2025-08-21,0001437749-25-027478,https://www.sec.gov/Archives/edgar/data/1220754/000143774925027478/modv20250818_8k.htm,2025-08-20,petition_date_from_8k_text,1677163000.0,87,2025-05-09,True,True,True,confirmed,
1669812,"LSC Communications, Inc.",2750,2020-04-13,2020-04-13,0001193125-20-104747,https://www.sec.gov/Archives/edgar/data/1669812/000119312520104747/d894205d8k.htm,2020-04-13,petition_date_from_8k_text,1649000000.0,14,2020-03-02,True,True,False,confirmed,
14195,BRIGGS & STRATTON CORP,3510,2020-07-20,2020-07-20,0000014195-20-000046,https://www.sec.gov/Archives/edgar/data/14195/000001419520000046/bgg-20200719.htm,2020-07-20,petition_date_from_8k_text,1589398000.0,103,2020-05-08,True,True,False,confirmed,
878079,BON TON STORES INC,5311,2018-02-05,2018-02-05,0000950142-18-000301,https://www.sec.gov/Archives/edgar/data/878079/000095014218000301/eh1800267_8k.htm,2018-02-05,8k_filing_date_fallback,1586595000.0,87,2017-12-12,True,True,False,confirmed,
886835,SUPERIOR ENERGY SERVICES INC,1389,2020-12-07,2020-12-07,0001193125-20-311144,https://www.sec.gov/Archives/edgar/data/886835/000119312520311144/d63085d8k.htm,2020-12-07,petition_date_from_8k_text,1574246000.0,89,2020-11-06,True,True,False,confirmed,
