cik,filing_date,accession,primary_document,verdict,detail
1463792,2018-01-10,0001493152-18-000395,form8-k.htm,keep,"inancial accounting standards provided pursuant to Section 13(a) of the Exchange Act. [ ] ITEM 4.02 NON-RELIANCE ON PREVIOUSLY ISSUED FINANCIAL STATEMENTS OR A RELATED AUDIT REPORT OR COMPLETED INTERIM REPORT On January 9, 2018, the Board of Directors (the &ldquo;Board&rdquo;) of Gold Torrent, Inc. "
1662574,2018-01-11,0001683168-18-000113,grom_8k.htm,keep,"cial accounting standards provided pursuant to Section 13(a) of the Exchange Act. &#9744; Item 4.02 Non-Reliance on Previously Issued Financial Statements or Related Audit report or Completed Interim Review On January 10, 2018, the board of directors of Grom Social Enterprises, Inc. (the &ldquo;Comp"
1001258,2018-01-18,0001437749-18-000792,asta20180117_8k.htm,keep,"and Financial Condition. On January 18, 2018, the Company issued a press release announcing that it will restate the Company's previously issued audited consolidated financial statements for each of the years ended September 30, 2016, 2015 and 2014 and the interim periods contained therein, as well "
1512927,2018-01-23,0001144204-18-003304,tv483857_8k.htm,keep,"cial accounting standards provided pursuant to Section 13(a) of the Exchange Act. &#168; Item 4.02. Non-Reliance on Previously Issued Financial Statements or a Related Audit Report or Completed Interim Review . On January 23, 2018, the Audit Committee of the Board of Directors of China United Insura"
1697851,2018-01-25,0001654954-18-000709,a8-k20180123.htm,keep,"pursuant to Section&#xA0;13(a) of the Exchange Act. &#x2610; &#xA0; &#xA0; &#xA0; &#xA0; Item 4.02 Non-Reliance on Previously Issued Financial Statements or Related Audit report or Completed Interim Review &#xA0; On January 23, 2018, the Board of Directors of Novume Solutions, Inc. (the &#x201C;Comp"
1135202,2018-01-30,0001214659-18-000747,j1291838k.htm,keep,"pursuant to Section 13(a) of the Exchange Act.&#160; &#160;&#160; &#9744; &#160; &#160; 1 Item 4.02 Non-Reliance on Previously Issued Financial Statements of a Related Audit Report of Completed Interim Review. On January 24, 2018, the Audit Committee of the Board of Directors (the &#8220;Audit Commi"
1586494,2018-01-30,0001511164-18-000029,f8kjan2018hoverinkbiotechnol.htm,keep,"communications pursuant to Rule 13e-4(c) under the Exchange Act (17 CFR 240.13e-4(c)) Item 4.02(a) Non-Reliance on Previously Issued Financial Statements or a Related Audit Report or Completed Interim Review. On Jan 28, 2018, the Board of Directors (the &#147;Board&#148;) of Hoverink Biotechnologies"
33619,2018-02-01,0001193125-18-029293,d533865d8k.htm,keep,"d in the text of the press release and as part of the supplemental financial information. Item 4.02 Non-Reliance on Previously Issued Financial Statements or a Related Audit Report or Completed Interim Review. On February 1, 2018, the Company&#146;s management, after consultation and discussions wit"
1695473,2018-02-06,0001721868-18-000095,f2gcan8k020618.htm,keep,"ent communications pursuant to Rule 13e-4(c) under the Exchange Act (17 CFR 240.13e-4(c)) Item 4.02 Non-reliance on Previously Issued Financial Statements On January 26, 2018, the Board of Directors of The Greater Cannabis Company, Inc. (the &ldquo;Company&rdquo;) determined that the Company's previ"
1512927,2018-02-07,0001144204-18-006301,tv485132_8ka.htm,keep,"te, the disclosures in the Original Filing affected by subsequent events or discoveries. Item 4.02. Non-Reliance on Previously Issued Financial Statements or a Related Audit Report or Completed Interim Review. As reported in the original Filing, on January 23, 2018, the Audit Committee of the Board "
225628,2018-02-12,0001096906-18-000086,passur.htm,keep,"ions pursuant to Rule 13e-4(c) under the Exchange Act (17 CFR 240.13e-4(c)) Item 4.02(a)&#160;&#160;Non-Reliance on Previously Issued Financial Statements or a Related Audit Report or Completed Interim Review. On February 8, 2018, the Board of Directors of PASSUR Aerospace,&#160;Inc. (the ""Company"")"
1001907,2018-02-12,0001001907-18-000013,a8-kfy18q1restatement.htm,keep,"cial accounting standards provided pursuant to Section 13(a) of the Exchange Act. &#9744; Item 4.02 Non-Reliance on Previously Issued Financial Statements or a Related Audit Report or Completed Interim Review. &#160; &#32;&#160;&#160;&#160;&#160; On February 7, 2018, the Audit Committee of the Board"
1501720,2018-02-12,0001493152-18-001812,form8-k.htm,keep,"onversion date. Conversion may occur in one or more installments until the Maturity Date. Item 4.02 Non-Reliance on Previously Issued Financial Statements or a Related Audit Report or Completed Interim Review. On February 6, 2018, the Company's board of directors concluded that the Company's previou"
1045742,2018-02-14,0001683168-18-000409,live_8k.htm,keep,"ncial accounting standards provided pursuant to Section 13(a) of the Exchange Act. &uml; Item 4.02. Non-Reliance on Previously Issued Financial Statements or a Related Audit Report or Completed Interim Review. On January 18, 2018, the Audit Committee of the Board of Directors (the &ldquo;Committee&r"
1133062,2018-02-20,0000950159-18-000049,janel8k.htm,keep,"ards provided pursuant to Section 13(a) of the Exchange Act. &#9744; &#160; &#160; &#160; Item 4.02 Non-Reliance on Previously Issued Financial Statements or a Related Audit Report or Completed Interim Review. On February 14, 2018, the board of directors of Janel Corporation (the ""Company"") conclude"
109657,2018-02-21,0001654954-18-001758,gtbp_8k.htm,keep,"led to participate in the Company&#x2019;s bonus plans. &#xA0; &#xA0;2 &#xA0; &#xA0; Item&#xA0;4.02 Non-Reliance on Previously Issued Financial Statements or a Related Audit Report or Completed Interim Review. &#xA0; On or about February 14, 2018 Seligson and Giannattasio, LLP (&#x201C;Seligson&#x20"
1527844,2018-02-26,0001663577-18-000106,mainbody.htm,keep,"the Exchange Act. [ ] SECTION 4 - MATTERS RELATED TO ACCOUNTANTS AND FINANCIAL STATEMENTS Item 4.02 Non-Reliance on Previously Issued Financial Statements or a Related Audit Report or Completed Interim Review. On February 14, 2018, the Board of Directors of Capital Art, Inc. (the &ldquo;Company&rdqu"
1575360,2018-02-26,0001575360-18-000009,ftd8-k9301710xqa.htm,keep,"ncial accounting standards provided pursuant to Section 13(a) of the Exchange Act. &#168; Item 4.02 Non-Reliance on Previously Issued Financial Statements or a Related Audit Report or Completed Interim Review. On February 20, 2018, the Audit Committee of the Board of Directors (the &#8220;Audit Comm"
850261,2018-02-27,0001144204-18-011016,tv487090_8k.htm,keep,".02 of this Current Report on Form 8-K is incorporated by reference into this Item 2.06. Item 4.02. Non-Reliance on Previously Issued Financial Statements or a Related Audit Report or Completed Interim Review. On February 26, 2018, the Audit Committee of the Board of Directors (the &ldquo;Audit Comm"
