cik,company,event_type,event_date,as_of_date,date_basis,source_accession,source_url,cohort,verification
1415404,EchoStar CORP,chapter11,2026-08-02,2026-08-03,petition_date_from_8k_text,0001415404-26-000038,https://www.sec.gov/Archives/edgar/data/1415404/000141540426000038/sats-20260728x8k.htm,recent_2025_2026,item_1.03+chapter11_text+voluntary_petition
1001233,"SANGAMO THERAPEUTICS, INC",chapter11,2026-06-23,2026-06-23,petition_date_from_8k_text,0001193125-26-278582,https://www.sec.gov/Archives/edgar/data/1001233/000119312526278582/d161847d8k.htm,recent_2025_2026,item_1.03+chapter11_text+voluntary_petition
827187,Sleep Number Corp,chapter11,2026-06-12,2026-06-12,petition_date_from_8k_text,0000950103-26-008891,https://www.sec.gov/Archives/edgar/data/827187/000095010326008891/dp248362_8k.htm,recent_2025_2026,item_1.03+chapter11_text+voluntary_petition
1808220,"GoHealth, Inc.",chapter11,2026-06-07,2026-06-08,petition_date_from_8k_text,0001628280-26-041369,https://www.sec.gov/Archives/edgar/data/1808220/000162828026041369/goco-20260605.htm,recent_2025_2026,item_1.03+chapter11_text+voluntary_petition
720154,"Inotiv, Inc.",chapter11,2026-06-03,2026-06-03,petition_date_from_8k_text,0001104659-26-069950,https://www.sec.gov/Archives/edgar/data/720154/000110465926069950/tm2616729d1_8k.htm,recent_2025_2026,item_1.03+chapter11_text+voluntary_petition
1519061,Trinseo PLC,chapter11,2026-05-26,2026-05-26,petition_date_from_8k_text,0001104659-26-066376,https://www.sec.gov/Archives/edgar/data/1519061/000110465926066376/tm2615591d1_8k.htm,recent_2025_2026,item_1.03+chapter11_text+voluntary_petition
1901799,Bitcoin Depot Inc.,chapter11,2026-05-18,2026-05-18,8k_filing_date_fallback,0001193125-26-227832,https://www.sec.gov/Archives/edgar/data/1901799/000119312526227832/d130621d8k.htm,recent_2025_2026,item_1.03+chapter11_text+voluntary_petition
1355096,"Old QVC Group, Inc.",chapter11,2026-04-16,2026-04-17,petition_date_from_8k_text,0001104659-26-044521,https://www.sec.gov/Archives/edgar/data/1355096/000110465926044521/tm2611635d1_8k.htm,recent_2025_2026,item_1.03+chapter11_text+voluntary_petition
1254699,"QVC Group, Inc.",chapter11,2026-04-16,2026-04-17,petition_date_from_8k_text,0001104659-26-044600,https://www.sec.gov/Archives/edgar/data/1254699/000110465926044600/tm2611636d1_8k.htm,recent_2025_2026,item_1.03+chapter11_text+voluntary_petition
1058623,CUMULUS MEDIA INC,chapter11,2026-03-04,2026-03-05,petition_date_from_8k_text,0001104659-26-023855,https://www.sec.gov/Archives/edgar/data/1058623/000110465926023855/tm267873d1_8k.htm,recent_2025_2026,item_1.03+chapter11_text+voluntary_petition
1532286,"Nine Energy Service, Inc.",chapter11,2026-02-01,2026-02-02,petition_date_from_8k_text,0001213900-26-010501,https://www.sec.gov/Archives/edgar/data/1532286/000121390026010501/ea0274803-8k_nineenergy.htm,recent_2025_2026,item_1.03+chapter11_text+voluntary_petition
1705012,"Fat Brands, Inc",chapter11,2026-01-26,2026-01-27,petition_date_from_8k_text,0001493152-26-003696,https://www.sec.gov/Archives/edgar/data/1705012/000149315226003696/form8-k.htm,recent_2025_2026,item_1.03+chapter11_text+voluntary_petition
1758057,"Luminar Technologies, Inc./DE",chapter11,2025-12-15,2025-12-15,8k_filing_date_fallback,0001140361-25-045494,https://www.sec.gov/Archives/edgar/data/1758057/000114036125045494/ef20061234_8k.htm,recent_2025_2026,item_1.03+chapter11_text+voluntary_petition
1159167,IROBOT CORP,chapter11,2025-12-14,2025-12-15,petition_date_from_8k_text,0001193125-25-318337,https://www.sec.gov/Archives/edgar/data/1159167/000119312525318337/d97115d8k.htm,recent_2025_2026,item_1.03+chapter11_text+voluntary_petition
1456772,OFFICE PROPERTIES INCOME TRUST,chapter11,2025-10-30,2025-10-31,petition_date_from_8k_text,0001104659-25-104631,https://www.sec.gov/Archives/edgar/data/1456772/000110465925104631/tm2529875d1_8k.htm,recent_2025_2026,item_1.03+chapter11_text+voluntary_petition
1893311,LUXURBAN HOTELS INC.,chapter11,2025-09-14,2025-09-18,petition_date_from_8k_text,0001829126-25-007474,https://www.sec.gov/Archives/edgar/data/1893311/000182912625007474/luxurban_8k.htm,recent_2025_2026,item_1.03+chapter11_text+voluntary_petition
1220754,ModivCare Inc,chapter11,2025-08-20,2025-08-21,petition_date_from_8k_text,0001437749-25-027478,https://www.sec.gov/Archives/edgar/data/1220754/000143774925027478/modv20250818_8k.htm,recent_2025_2026,item_1.03+chapter11_text+voluntary_petition
1455684,"TPI COMPOSITES, INC",chapter11,2025-08-11,2025-08-15,petition_date_from_8k_text,0001171843-25-005450,https://www.sec.gov/Archives/edgar/data/1455684/000117184325005450/f8k_081525.htm,recent_2025_2026,item_1.03+chapter11_text+voluntary_petition
895419,"WOLFSPEED, INC.",chapter11,2025-06-30,2025-07-01,petition_date_from_8k_text,0001193125-25-153145,https://www.sec.gov/Archives/edgar/data/895419/000119312525153145/d755867d8k.htm,recent_2025_2026,item_1.03+chapter11_text+voluntary_petition
1772695,Sunnova Energy International Inc.,chapter11,2025-06-08,2025-06-09,petition_date_from_8k_text,0001772695-25-000105,https://www.sec.gov/Archives/edgar/data/1772695/000177269525000105/nova-20250608.htm,recent_2025_2026,item_1.03+chapter11_text+voluntary_petition
105319,"WW INTERNATIONAL, INC.",chapter11,2025-05-06,2025-05-07,petition_date_from_8k_text,0001193125-25-114307,https://www.sec.gov/Archives/edgar/data/105319/000119312525114307/d934787d8k.htm,recent_2025_2026,item_1.03+chapter11_text+voluntary_petition
