cik,company,event_date,outcome,survived,periodic_filings_after,deregistration_date,last_filing_date
1415404,EchoStar CORP,2026-08-02,in_process,0,1,,2026-08-13
1001233,"SANGAMO THERAPEUTICS, INC",2026-06-23,in_process,0,0,,2026-08-14
827187,Sleep Number Corp,2026-06-12,deregistered,0,0,2026-08-03,2026-08-11
1808220,"GoHealth, Inc.",2026-06-07,deregistered,0,0,2026-07-21,2026-07-23
720154,"Inotiv, Inc.",2026-06-03,deregistered,0,0,2026-07-29,2026-07-29
1519061,Trinseo PLC,2026-05-26,in_process,0,1,,2026-08-14
1901799,Bitcoin Depot Inc.,2026-05-18,in_process,0,0,,2026-07-13
1254699,"QVC Group, Inc.",2026-04-16,emerged,1,2,,2026-08-13
1058623,CUMULUS MEDIA INC,2026-03-04,emerged,1,2,,2026-04-30
1532286,"Nine Energy Service, Inc.",2026-02-01,emerged,1,3,,2026-08-14
1705012,"Fat Brands, Inc",2026-01-26,in_process,0,0,,2026-06-18
1758057,"Luminar Technologies, Inc./DE",2025-12-15,deregistered,0,1,2026-04-07,2026-05-15
1159167,IROBOT CORP,2025-12-14,deregistered,0,0,2026-01-26,2026-01-26
1456772,OFFICE PROPERTIES INCOME TRUST,2025-10-30,emerged,1,4,,2026-08-13
1893311,LUXURBAN HOTELS INC.,2025-09-14,went_dark,0,0,,2025-09-18
1220754,ModivCare Inc,2025-08-20,deregistered,0,2,2025-12-29,2025-12-29
1455684,"TPI COMPOSITES, INC",2025-08-11,deregistered,0,2,2026-03-26,2026-03-26
895419,"WOLFSPEED, INC.",2025-06-30,emerged,1,4,,2026-08-14
1772695,Sunnova Energy International Inc.,2025-06-08,went_dark,0,0,,2025-06-17
105319,"WW INTERNATIONAL, INC.",2025-05-06,emerged,1,5,,2026-08-14
748790,"Global Clean Energy Holdings, Inc.",2025-04-18,deregistered,0,0,2025-08-12,2025-08-14
1830210,"Benson Hill, Inc.",2025-03-25,went_dark,0,0,,2025-09-03
1804591,Chrome Holding Co.,2025-03-24,deregistered,0,2,2025-12-04,2025-12-04
1779020,"Danimer Scientific, Inc.",2025-03-18,went_dark,0,0,,2025-05-15
1101680,DZS INC.,2025-03-14,went_dark,0,0,,2025-12-17
1162461,CUTERA INC,2025-03-05,deregistered,0,0,2025-03-31,2025-07-16
1731289,Nikola Corp,2025-02-19,deregistered,0,1,2025-10-10,2025-10-10
1850838,"Omega Therapeutics, Inc.",2025-02-10,deregistered,0,0,2025-03-31,2025-03-31
1835972,"iLearningEngines, Inc.",2024-12-23,went_dark,0,0,,2025-05-29
1411688,"Container Store Group, Inc.",2024-12-22,deregistered,0,0,2025-02-04,2025-02-12
1584754,ATECH (PARENT) RESOLUTION CORP.,2024-12-16,went_dark,0,0,,2025-06-06
837852,"IDEANOMICS, INC.",2024-12-06,went_dark,0,0,,2025-08-12
1537028,"Independence Contract Drilling, Inc.",2024-12-03,deregistered,0,0,2025-01-17,2025-01-22
1813914,"CareMax, Inc.",2024-11-18,deregistered,0,0,2025-02-21,2025-02-21
1498710,"Spirit Aviation Holdings, Inc.",2024-11-18,deregistered,0,6,2025-03-13,2026-06-22
1580864,"Vroom, Inc.",2024-11-13,emerged,1,7,,2026-08-10
1656634,"Gritstone bio, Inc.",2024-10-10,deregistered,0,0,2025-04-04,2025-04-08
890447,Vertex Energy Inc.,2024-09-24,deregistered,0,0,2025-02-03,2025-02-03
1723580,"BurgerFi International, Inc.",2024-09-17,went_dark,0,0,,2025-03-19
1008654,TUPPERWARE BRANDS CORP,2024-09-17,went_dark,0,0,,2024-11-29
1391127,"Edgio, Inc.",2024-09-09,deregistered,0,0,2024-10-25,2024-10-28
768835,FORMER BL STORES INC,2024-09-09,went_dark,0,1,,2025-11-13
1396033,"LL Flooring Holdings, Inc.",2024-08-11,deregistered,0,0,2025-05-13,2025-05-13
867773,SUNPOWER CORP,2024-08-05,went_dark,0,0,,2024-09-20
1223389,CONNS INC,2024-07-25,went_dark,0,0,,2025-02-14
1459417,"2U, LLC",2024-07-24,deregistered,0,1,2024-09-25,2025-01-10
1834045,"Vintage Wine Estates, Inc.",2024-07-24,deregistered,0,0,2024-08-19,2025-02-11
1101396,"DELTA APPAREL, INC",2024-06-30,went_dark,0,0,,2025-01-08
1720990,Fisker Inc./DE,2024-06-24,went_dark,0,0,,2024-08-15
1651944,"DermTech, Inc.",2024-06-18,deregistered,0,0,2026-04-02,2026-04-02
730255,CalAmp Corp.,2024-06-03,deregistered,0,0,2024-08-01,2024-08-01
1634447,"ISUN, INC.",2024-06-03,went_dark,0,0,,2024-10-23
1811109,"Applied UV, Inc.",2024-05-31,went_dark,0,0,,2024-06-28
1353538,"Appgate, Inc.",2024-05-06,deregistered,0,0,2024-07-03,2024-07-03
1483510,"EXP OldCo Winddown, Inc.",2024-04-22,deregistered,0,1,2024-04-24,2024-12-31
1333835,Casa Systems Inc,2024-04-03,deregistered,0,0,2024-06-10,2024-06-10
1811856,"View, Inc.",2024-04-02,deregistered,0,0,2024-05-24,2024-11-13
1008848,"Acorda Therapeutics, Inc.",2024-04-01,deregistered,0,1,2024-08-13,2024-08-13
1305253,"Eiger BioPharmaceuticals, Inc.",2024-04-01,deregistered,0,1,2024-10-01,2024-10-01
1823882,Airspan Networks Holdings Inc.,2024-03-31,deregistered,0,1,2024-10-04,2024-10-04
1711291,CURO Group Holdings Corp.,2024-03-25,deregistered,0,0,2024-03-29,2024-03-29
1834585,JOANN Inc.,2024-03-18,deregistered,0,0,2024-05-01,2024-05-01
1592057,"Enviva, LLC",2024-03-12,deregistered,0,1,2024-10-21,2025-02-05
1277250,"Charge Enterprises, Inc.",2024-03-07,deregistered,0,0,2024-05-03,2024-05-06
