cik,tier,severity,signal,event_date,as_of_date,source_form,source_accession,noisy
1800,near_default,3,debt_acceleration,2018-03-22,2018-03-22,8-K,0001104659-18-019573,0
1800,near_default,3,debt_acceleration,2018-06-22,2018-06-22,8-K,0001104659-18-041818,0
1800,near_default,3,debt_acceleration,2018-09-28,2018-09-28,8-K,0001104659-18-059457,0
1800,near_default,3,debt_acceleration,2018-10-29,2018-10-29,8-K,0001104659-18-064376,0
1800,near_default,3,debt_acceleration,2019-02-25,2019-02-25,8-K,0001104659-19-010347,0
1800,near_default,3,debt_acceleration,2019-12-19,2019-12-19,8-K,0001104659-19-074388,0
1800,early_warning,1,exit_or_disposal_costs,2021-06-03,2021-06-03,8-K,0001104659-21-076394,1
2488,early_warning,1,exit_or_disposal_costs,2015-10-01,2015-10-01,8-K,0000002488-15-000055,1
2969,early_warning,1,exit_or_disposal_costs,2016-04-04,2016-04-04,8-K,0001193125-16-528737,1
2969,early_warning,1,auditor_change,2018-07-26,2018-07-26,8-K,0001193125-18-227823,1
2969,near_default,3,delisting_by_exchange,2020-08-07,2020-08-07,25-NSE,0000876661-20-000622,0
2969,near_default,3,delisting_by_exchange,2021-04-15,2021-04-15,25-NSE,0000876661-21-000552,0
2969,near_default,3,delisting_by_exchange,2021-06-02,2021-06-02,25-NSE,0000876661-21-000826,0
2969,near_default,3,delisting_by_exchange,2025-02-12,2025-02-12,25-NSE,0000876661-25-000110,0
2969,early_warning,1,material_impairment,2025-02-24,2025-02-24,8-K,0001193125-25-033509,1
2969,early_warning,1,material_impairment,2026-06-30,2026-06-30,8-K,0001193125-26-289427,1
6201,early_warning,1,exit_or_disposal_costs,2020-07-15,2020-07-15,8-K,0001193125-20-193423,1
6201,early_warning,1,exit_or_disposal_costs,2020-08-25,2020-08-25,8-K,0000006201-20-000091,1
6201,early_warning,1,exit_or_disposal_costs,2021-02-03,2021-02-03,8-K,0000006201-21-000007,1
7536,early_warning,1,exit_or_disposal_costs,2019-07-15,2019-07-15,8-K,0001733391-19-000012,1
7536,early_warning,1,material_impairment,2019-07-15,2019-07-15,8-K,0001733391-19-000012,1
7536,early_warning,1,exit_or_disposal_costs,2024-10-31,2024-10-31,8-K,0001894806-24-000004,1
9389,early_warning,1,late_quarterly_report,2016-08-09,2016-08-09,NT 10-Q,0001104659-16-138228,0
9389,early_warning,1,late_annual_report,2017-03-02,2017-03-02,NT 10-K,0001104659-17-013446,0
9389,early_warning,1,exit_or_disposal_costs,2017-07-27,2017-07-27,8-K,0000009389-17-000026,1
9389,early_warning,1,exit_or_disposal_costs,2017-09-01,2017-09-01,8-K,0000009389-17-000034,1
9389,early_warning,1,exit_or_disposal_costs,2022-08-04,2022-08-04,8-K,0000009389-22-000017,1
10795,near_default,3,delisting_by_exchange,2019-06-06,2019-06-06,25-NSE,0000876661-19-000547,0
10795,near_default,3,delisting_by_exchange,2020-05-01,2020-05-01,25-NSE,0000876661-20-000371,0
10795,near_default,3,delisting_by_exchange,2021-03-15,2021-03-15,25-NSE,0000876661-21-000379,0
10795,near_default,3,delisting_by_exchange,2022-12-15,2022-12-15,25-NSE,0000876661-22-001135,0
10795,near_default,3,delisting_by_exchange,2023-05-24,2023-05-24,25-NSE,0000876661-23-000438,0
10795,near_default,3,delisting_by_exchange,2023-06-01,2023-06-01,25-NSE,0000876661-23-000465,0
10795,near_default,3,delisting_by_exchange,2023-06-05,2023-06-05,25-NSE,0000876661-23-000468,0
10795,near_default,3,delisting_by_exchange,2023-08-14,2023-08-14,25-NSE,0000876661-23-000647,0
10795,near_default,3,delisting_by_exchange,2025-05-27,2025-05-27,25-NSE,0000876661-25-000380,0
10795,near_default,3,delisting_by_exchange,2025-08-13,2025-08-13,25-NSE,0000876661-25-000594,0
10795,near_default,3,delisting_by_exchange,2026-06-04,2026-06-04,25-NSE,0000876661-26-000501,0
14272,near_default,3,delisting_by_exchange,2021-01-04,2021-01-04,25-NSE,0000876661-21-000003,0
14272,near_default,3,delisting_by_exchange,2025-05-15,2025-05-15,25-NSE,0000876661-25-000341,0
15615,early_warning,1,late_annual_report,2015-03-02,2015-03-02,NT 10-K,0001193125-15-070540,0
15615,stress,2,listing_rule_failure,2015-03-20,2015-03-20,8-K,0001193125-15-100330,0
15615,early_warning,1,late_quarterly_report,2015-05-12,2015-05-12,NT 10-Q,0001193125-15-182419,0
15615,stress,2,restatement_non_reliance,2015-07-31,2015-07-31,8-K,0001193125-15-271511,0
15615,early_warning,1,late_quarterly_report,2015-08-11,2015-08-11,NT 10-Q,0001193125-15-285197,0
15615,near_default,3,debt_acceleration,2020-07-20,2020-07-20,8-K,0001193125-20-195186,0
15615,early_warning,1,late_annual_report,2023-03-02,2023-03-02,NT 10-K,0001193125-23-057403,0
15615,early_warning,1,late_annual_report,2024-03-01,2024-03-01,NT 10-K,0001193125-24-054063,0
15615,early_warning,1,auditor_change,2024-03-08,2024-03-08,8-K,0001193125-24-062573,1
21344,near_default,3,delisting_by_exchange,2017-03-15,2017-03-15,25-NSE,0000876661-17-000123,0
21344,near_default,3,delisting_by_exchange,2019-03-08,2019-03-08,25-NSE,0000876661-19-000195,0
21344,near_default,3,delisting_by_exchange,2019-09-10,2019-09-10,25-NSE,0000876661-19-000923,0
21344,early_warning,1,exit_or_disposal_costs,2020-08-28,2020-08-28,8-K,0001552781-20-000463,1
21344,near_default,3,delisting_by_exchange,2020-10-20,2020-10-20,25-NSE,0000876661-20-000948,0
21344,near_default,3,delisting_by_exchange,2020-10-20,2020-10-20,25-NSE,0000876661-20-000947,0
21344,near_default,3,delisting_by_exchange,2020-10-21,2020-10-21,25-NSE,0000876661-20-000960,0
21344,near_default,3,delisting_by_exchange,2021-03-08,2021-03-08,25-NSE,0000876661-21-000335,0
21344,near_default,3,delisting_by_exchange,2021-04-08,2021-04-08,25-NSE,0000876661-21-000513,0
21344,near_default,3,delisting_by_exchange,2024-03-08,2024-03-08,25-NSE,0000876661-24-000139,0
27419,early_warning,1,exit_or_disposal_costs,2015-01-15,2015-01-15,8-K,0000027419-15-000005,1
27419,early_warning,1,material_impairment,2015-01-15,2015-01-15,8-K,0000027419-15-000005,1
27419,early_warning,1,exit_or_disposal_costs,2015-03-10,2015-03-10,8-K,0001104659-15-018413,1
27904,early_warning,1,material_impairment,2020-05-14,2020-05-14,8-K,0001683168-20-001539,1
27904,early_warning,1,material_impairment,2020-09-25,2020-09-25,8-K,0001683168-20-003281,1
28823,early_warning,1,late_quarterly_report,2016-11-09,2016-11-09,NT 10-Q,0000028823-16-000254,0
28823,early_warning,1,late_annual_report,2022-03-02,2022-03-02,NT 10-K,0000028823-22-000042,0
28823,stress,2,listing_rule_failure,2023-05-08,2023-05-08,8-K,0000028823-23-000103,0
28823,early_warning,1,late_quarterly_report,2023-05-10,2023-05-10,NT 10-Q,0000028823-23-000106,0
28823,default,4,chapter11_petition,2023-06-01,2023-06-01,8-K,0001193125-23-158463,0
28823,near_default,3,debt_acceleration,2023-06-01,2023-06-01,8-K,0001193125-23-158463,0
28823,stress,2,listing_rule_failure,2023-06-05,2023-06-05,8-K,0000028823-23-000123,0
28823,near_default,3,delisting_by_exchange,2023-06-20,2023-06-20,25-NSE,0000876661-23-000511,0
29534,early_warning,1,exit_or_disposal_costs,2015-10-13,2015-10-13,8-K,0001157523-15-003290,1
33213,early_warning,1,exit_or_disposal_costs,2019-09-12,2019-09-12,8-K,0001410578-19-001205,1
33213,early_warning,1,exit_or_disposal_costs,2024-10-01,2024-10-01,8-K,0001104659-24-104934,1
34088,early_warning,1,material_impairment,2020-11-30,2020-11-30,8-K,0000034088-20-000093,1
34088,near_default,3,debt_acceleration,2021-12-17,2021-12-17,8-K,0000950103-21-019926,0
