cik,as_of,label,days_to_event,signal,confidence,risk_score,risk_probability,steps,terminated_because,verification_passed,tools_called,baseline_seen
33213,2024-07-01,0,,healthy,1.0,2.0,0.02,8,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_prior_distress_events|get_peer_comparison,0
66382,2024-07-01,0,,watch,0.8,18.0,0.18,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_peer_comparison|check_threshold|check_threshold,0
70318,2024-07-01,0,,healthy,0.9,5.0,0.05,9,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events|get_trend|get_peer_comparison,0
80424,2024-07-01,0,,healthy,0.9,5.0,0.05,9,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_peer_comparison,0
103379,2024-07-01,0,,severe_risk,0.8,78.0,0.78,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_peer_comparison|check_threshold|check_threshold|get_line_item,0
105319,2024-07-01,1,309,severe_risk,0.9,88.0,0.88,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|check_threshold|check_threshold|get_peer_comparison,0
109198,2024-07-01,0,,healthy,0.6,8.0,0.08,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_metric|get_line_item|get_line_item|get_line_item,0
748790,2024-07-01,1,291,severe_risk,0.9,94.0,0.94,9,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events|get_trend|check_threshold|check_threshold,0
768835,2024-07-01,1,70,severe_risk,0.9,88.0,0.88,11,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|check_threshold|check_threshold|get_metric,0
821189,2024-07-01,0,,healthy,1.0,2.0,0.02,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_line_item|get_line_item|get_line_item|get_line_item|get_line_item|get_metric|get_metric|get_prior_distress_events,0
831259,2024-07-01,0,,healthy,0.9,5.0,0.05,10,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events|get_trend|get_trend|get_peer_comparison,0
837852,2024-07-01,1,158,severe_risk,1.0,98.0,0.98,9,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_metric,0
867773,2024-07-01,1,35,watch,0.8,27.0,0.27,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|check_threshold|check_threshold|get_line_item,0
878927,2024-07-01,0,,healthy,1.0,1.0,0.01,8,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events|get_trend,0
890447,2024-07-01,1,85,severe_risk,0.8,72.0,0.72,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_metric|get_peer_comparison|check_threshold|check_threshold,0
