late_filing,auditor_change,delisting,covenant,impairment,material_weakness,going_concern,cik,as_of,label,fold
0,0,0,0,0,0,0,909724,2019-04-01,1,train
0,1,0,0,0,1,1,1175680,2022-07-01,1,train
0,0,0,0,0,1,1,1656501,2019-01-01,1,train
0,0,0,0,0,0,1,1760683,2021-04-01,1,train
0,1,0,0,0,0,0,1083522,2022-07-01,1,train
0,0,0,0,0,1,0,1556179,2022-01-01,1,train
1,0,0,0,0,1,1,1849635,2023-01-01,1,train
0,0,0,0,0,0,0,1018840,2020-04-01,1,train
0,0,0,0,0,1,0,1083446,2023-04-01,1,train
0,1,0,0,0,0,1,1477009,2019-10-01,1,train
0,0,0,0,0,0,0,1172222,2022-10-01,1,train
1,0,0,0,0,0,1,1829328,2021-10-01,1,train
0,0,0,0,0,0,0,1223389,2020-04-01,1,train
1,0,1,0,0,1,1,1777946,2021-07-01,1,train
1,0,0,0,0,0,1,1493212,2020-10-01,1,train
1,0,0,0,0,1,1,1822966,2021-10-01,1,train
1,1,0,0,0,1,1,1439299,2019-04-01,1,train
0,0,1,0,0,0,1,1812727,2023-04-01,1,train
0,1,1,0,0,1,0,1725255,2020-04-01,1,train
0,0,0,0,0,0,0,39020,2022-01-01,1,train
1,1,1,0,0,1,1,1769624,2023-04-01,1,train
1,1,0,0,0,0,1,1378125,2020-04-01,1,train
1,0,0,0,0,0,1,1109486,2022-10-01,1,train
1,0,0,0,0,0,1,1538495,2020-10-01,1,train
1,0,0,0,0,0,0,1141197,2023-04-01,1,train
0,0,0,0,0,0,1,1700849,2020-10-01,1,train
1,0,0,0,0,0,1,1849635,2022-10-01,1,train
1,0,1,0,0,0,0,818479,2022-07-01,1,train
0,0,0,0,0,0,0,1435508,2019-07-01,1,train
0,0,1,0,0,1,0,1698991,2020-04-01,1,train
0,0,0,0,0,0,1,724742,2022-04-01,1,train
0,1,0,0,0,1,0,1701758,2023-01-01,1,train
1,0,1,0,0,0,1,1422892,2020-01-01,1,train
0,1,0,0,0,1,0,1413898,2019-04-01,1,train
0,0,1,0,0,1,1,707388,2020-07-01,1,train
1,1,0,0,0,0,0,1101680,2022-07-01,1,train
1,0,1,0,0,0,1,1681941,2020-10-01,1,train
0,0,0,0,0,1,1,1730463,2023-04-01,1,train
0,0,0,0,0,0,0,1692951,2023-01-01,1,train
0,0,0,0,0,1,0,1596946,2021-01-01,1,train
0,0,0,0,0,0,0,1464790,2022-10-01,1,train
1,0,1,0,0,1,1,1802450,2022-04-01,1,train
0,0,0,0,0,0,0,1574291,2019-10-01,1,train
1,1,0,0,0,1,1,1482554,2020-04-01,1,train
0,0,0,0,0,0,0,1262104,2021-10-01,1,train
1,1,0,0,0,0,0,1467761,2022-01-01,1,train
1,0,0,0,0,1,1,1631282,2019-10-01,1,train
1,1,0,0,0,0,0,1819493,2022-10-01,1,train
0,0,0,0,0,0,0,811641,2022-07-01,1,train
0,0,0,0,0,0,1,1133311,2022-10-01,1,train
0,0,0,0,0,0,0,1785592,2021-04-01,1,train
0,0,0,0,0,1,0,1290900,2019-04-01,1,train
0,0,0,0,0,0,1,1347652,2022-04-01,1,train
0,0,0,0,0,0,0,1435508,2019-10-01,1,train
1,0,0,0,0,0,1,1651992,2022-07-01,1,train
0,0,0,0,0,1,1,1500305,2023-04-01,1,train
0,0,0,0,0,0,0,1620533,2023-04-01,1,train
1,1,0,0,0,0,0,1716188,2019-04-01,1,train
0,0,0,0,0,0,0,59558,2022-10-01,1,train
0,0,0,0,0,0,0,1175535,2019-01-01,1,train
1,1,0,0,0,1,1,1399306,2019-04-01,1,train
0,0,0,0,0,0,1,1372514,2021-07-01,1,train
1,0,0,0,0,1,1,826253,2019-10-01,1,train
0,0,0,0,0,1,0,1596946,2021-04-01,1,train
1,0,1,0,0,1,0,1089531,2020-07-01,1,train
1,1,0,0,0,1,1,1756180,2019-07-01,1,train
1,1,1,0,0,0,0,1725872,2021-10-01,1,train
1,0,0,0,0,0,0,923601,2020-04-01,1,train
1,0,0,0,0,0,0,1205181,2019-07-01,1,train
0,0,0,0,0,1,1,1069308,2021-01-01,1,train
0,0,1,0,0,1,0,1692415,2020-10-01,1,train
1,0,0,0,0,0,1,1293971,2023-04-01,1,train
1,1,0,0,0,1,1,1626745,2021-10-01,1,train
0,0,0,0,0,0,0,1550603,2020-07-01,1,train
1,0,0,0,0,0,1,1416090,2019-10-01,1,train
0,1,0,0,0,0,0,1600422,2019-01-01,1,train
0,0,0,0,0,0,0,93556,2021-04-01,1,train
0,1,1,0,0,1,0,1725255,2020-10-01,1,train
1,1,1,0,1,1,1,887247,2021-01-01,1,train
1,0,1,0,0,1,0,1620179,2020-01-01,1,train
0,0,0,0,0,0,0,1463258,2020-04-01,1,train
0,0,0,0,0,0,0,1703056,2022-10-01,1,train
0,0,0,0,0,0,0,1528849,2022-10-01,1,train
1,1,1,0,0,1,1,1178727,2022-04-01,1,train
1,1,0,0,0,0,1,1484769,2019-04-01,1,train
1,1,0,0,0,1,1,1777946,2021-10-01,1,train
0,1,1,0,0,0,0,837852,2021-10-01,1,train
1,1,0,0,0,1,1,1597846,2019-04-01,1,train
1,1,0,0,0,0,1,835662,2019-07-01,1,train
0,0,1,0,0,0,1,1691936,2021-04-01,1,train
1,0,0,0,0,0,0,1020710,2021-04-01,1,train
0,0,0,0,0,0,0,1227654,2021-01-01,1,train
0,0,0,0,0,0,0,863894,2023-01-01,1,train
1,0,0,0,0,1,1,1421636,2022-01-01,1,train
0,0,1,0,0,0,0,1514732,2019-04-01,1,train
0,0,1,0,0,1,0,1084384,2019-07-01,1,train
0,0,0,0,0,0,0,1013706,2022-10-01,1,train
0,0,0,0,0,0,0,1051470,2019-04-01,1,train
1,0,0,0,0,0,1,1799191,2021-07-01,1,train
0,0,0,0,0,1,0,1474439,2019-07-01,1,train
1,0,0,0,0,0,1,1561180,2020-10-01,1,train
0,0,0,0,0,1,0,1617669,2020-04-01,1,train
0,0,1,0,0,0,1,1835972,2023-01-01,1,train
0,0,0,0,0,0,0,1008654,2022-07-01,1,train
1,1,0,0,0,0,1,1746278,2023-04-01,1,train
1,1,1,0,0,0,0,1725872,2022-01-01,1,train
0,0,0,0,0,0,1,1512228,2022-01-01,1,train
1,1,0,0,0,0,0,1101680,2022-10-01,1,train
0,0,0,0,0,1,1,1044378,2021-04-01,1,train
1,0,0,0,0,0,1,1490161,2020-04-01,1,train
0,0,0,0,0,1,1,1044378,2021-10-01,1,train
1,0,1,0,0,1,1,862861,2019-10-01,1,train
0,0,1,0,0,1,1,926617,2023-04-01,1,train
0,0,0,0,0,0,0,93556,2021-10-01,1,train
1,1,0,0,0,1,0,810332,2023-04-01,1,train
1,0,1,0,1,0,0,1401521,2023-04-01,1,train
1,0,0,0,0,1,1,1365916,2019-01-01,1,train
1,1,0,0,0,0,1,1662382,2019-10-01,1,train
0,0,0,0,0,0,0,1709164,2019-10-01,1,train
0,0,1,0,0,1,0,1788717,2022-10-01,1,train
0,0,0,0,0,0,0,315131,2019-10-01,1,train
1,1,0,0,0,0,0,50292,2020-07-01,1,train
0,0,0,0,0,0,0,720154,2021-07-01,1,train
0,0,0,0,0,0,0,884219,2022-04-01,1,train
0,0,0,0,0,0,0,1835385,2023-04-01,1,train
1,0,1,0,0,1,1,867773,2023-04-01,1,train
0,1,0,0,0,1,0,1353538,2022-04-01,1,train
0,0,0,0,0,0,0,897723,2022-07-01,1,train
1,0,0,0,0,0,1,1552189,2021-07-01,1,train
1,0,1,0,0,0,0,1122063,2019-04-01,1,train
1,1,1,0,0,1,1,1178727,2022-10-01,1,train
1,0,0,0,0,0,1,1725516,2022-07-01,1,train
0,0,0,0,0,0,0,1227654,2020-10-01,1,train
0,0,0,0,0,0,0,875355,2021-07-01,1,train
0,0,0,0,0,0,0,1020710,2020-10-01,1,train
0,0,1,0,0,0,0,1476963,2022-07-01,1,train
0,1,0,0,0,0,1,1415684,2019-01-01,1,train
0,0,0,1,0,0,0,1038357,2020-07-01,1,train
1,0,0,0,0,0,0,1522690,2019-04-01,1,train
0,0,0,0,0,1,1,1044378,2022-01-01,1,train
0,0,1,0,0,1,0,875355,2021-01-01,1,train
1,0,0,0,0,1,1,1606698,2022-04-01,1,train
1,1,0,0,0,1,1,867028,2022-07-01,1,train
1,0,0,0,0,0,0,1020710,2021-07-01,1,train
1,0,1,0,0,0,1,1372514,2022-04-01,1,train
0,1,0,0,0,1,1,1626644,2020-10-01,1,train
1,1,0,0,0,1,0,1111741,2019-01-01,1,train
0,0,0,0,0,0,0,811641,2022-04-01,1,train
0,0,0,0,0,1,0,1474439,2020-01-01,1,train
1,1,0,0,0,1,0,1499832,2020-01-01,1,train
0,0,0,0,0,0,1,1391127,2022-04-01,1,train
1,1,1,0,0,0,0,1819493,2023-01-01,1,train
0,0,0,0,0,0,0,726865,2022-10-01,1,train
1,0,0,0,0,0,1,1552189,2021-04-01,1,train
0,0,0,0,0,0,1,1512228,2022-07-01,1,train
1,0,0,0,0,0,0,1522690,2019-01-01,1,train
1,0,1,0,0,0,1,1309082,2020-10-01,1,train
0,1,0,0,0,1,0,1600422,2019-04-01,1,train
0,1,0,0,0,0,1,1084475,2020-04-01,1,train
1,0,0,0,0,0,1,1725516,2022-10-01,1,train
0,0,1,0,0,1,0,926282,2023-04-01,1,train
1,0,1,0,0,1,0,1620179,2019-07-01,1,train
0,0,0,0,0,0,1,1841125,2023-04-01,1,train
0,0,0,0,0,0,1,1832136,2022-10-01,1,train
0,0,0,0,0,0,1,1175680,2022-01-01,1,train
1,0,0,0,0,1,1,1715433,2021-07-01,1,train
1,0,0,0,0,0,1,1662382,2020-07-01,1,train
1,0,0,0,0,0,1,1538495,2020-07-01,1,train
0,0,1,0,0,1,1,1871149,2023-04-01,1,train
1,0,1,0,0,0,0,1401521,2023-01-01,1,train
1,0,0,0,0,0,0,1374328,2022-07-01,1,train
0,0,0,0,0,0,0,1451809,2023-04-01,1,train
1,1,1,0,0,1,1,1427570,2023-01-01,1,train
0,0,1,0,0,0,0,926282,2023-01-01,1,train
1,0,0,0,0,0,0,1615063,2023-01-01,1,train
1,1,0,0,0,1,1,728385,2020-04-01,1,train
0,0,1,0,0,1,1,1798562,2023-04-01,1,train
1,0,0,0,0,0,1,1552189,2020-10-01,1,train
0,0,0,0,0,0,0,1861795,2023-01-01,1,train
0,0,1,0,0,0,0,1174940,2023-01-01,1,train
0,0,0,0,0,1,0,1101680,2023-04-01,1,train
1,1,1,0,0,0,0,1467761,2022-07-01,1,train
0,0,1,1,0,0,1,1735707,2021-07-01,1,train
1,0,0,0,0,0,0,1009759,2022-10-01,1,train
1,0,0,0,0,0,0,14846,2020-04-01,1,train
1,1,1,0,0,1,1,1646188,2019-01-01,1,train
0,0,0,0,0,1,1,1556179,2021-10-01,1,train
0,0,1,0,0,0,1,1760689,2021-04-01,1,train
0,1,0,0,0,0,1,1353538,2022-01-01,1,train
0,1,0,0,0,1,1,1858028,2023-04-01,1,train
0,0,0,0,0,0,0,10456,2019-07-01,1,train
0,0,0,0,0,0,0,1005286,2021-10-01,1,train
1,1,1,0,0,0,0,1725872,2021-07-01,1,train
0,0,0,0,0,0,0,1223389,2019-10-01,1,train
0,0,0,0,0,0,0,1036262,2023-04-01,1,train
1,1,1,0,0,1,0,1841408,2022-04-01,1,train
0,0,0,0,0,0,0,818479,2022-01-01,1,train
1,0,0,0,0,0,0,1766352,2021-01-01,1,train
1,0,0,0,0,0,0,923601,2020-10-01,1,train
0,1,0,0,0,0,0,1083522,2023-01-01,1,train
0,0,0,0,0,0,0,48898,2022-10-01,0,train
0,0,1,0,0,0,0,1741231,2020-07-01,0,train
0,0,0,0,0,0,0,1725057,2022-01-01,0,train
0,0,0,0,0,0,0,796343,2022-07-01,0,train
1,0,0,0,0,0,0,1629665,2022-10-01,0,train
1,0,1,0,0,0,0,1785592,2022-07-01,0,train
0,0,0,0,0,0,0,25895,2020-01-01,0,train
1,0,0,0,0,0,0,1034957,2022-01-01,0,train
0,0,1,0,0,1,1,1427925,2023-04-01,0,train
1,1,0,0,0,0,0,919175,2023-01-01,0,train
1,0,1,0,0,1,0,1550603,2021-10-01,0,train
0,0,0,0,0,0,0,1013272,2019-04-01,0,train
0,0,0,0,0,0,0,810332,2019-10-01,0,train
1,1,0,0,0,0,1,1582249,2023-04-01,0,train
0,0,0,0,0,1,0,1875444,2022-07-01,0,train
0,0,0,0,0,0,0,926326,2020-01-01,0,train
0,0,0,0,0,0,0,91576,2022-10-01,0,train
0,0,0,0,0,0,0,1391933,2019-10-01,0,train
1,0,1,0,0,1,1,1566826,2020-01-01,0,train
0,0,0,0,0,0,0,39263,2020-10-01,0,train
0,0,0,0,0,0,0,700923,2019-10-01,0,train
1,1,0,0,0,0,0,1835378,2022-07-01,0,train
0,0,0,0,0,0,0,1620533,2020-10-01,0,train
0,0,0,0,0,0,0,1378946,2022-04-01,0,train
1,0,1,0,0,1,0,889348,2020-07-01,0,train
1,1,0,0,0,0,0,1569994,2021-07-01,0,train
0,0,0,0,0,1,1,1583648,2021-04-01,0,train
0,0,0,0,0,1,0,1239819,2021-01-01,0,train
1,1,0,0,0,0,1,1127475,2021-01-01,0,train
1,1,1,0,0,1,0,1823593,2023-01-01,0,train
0,1,1,0,0,0,0,1762303,2021-01-01,0,train
0,0,1,0,0,0,0,1623613,2022-01-01,0,train
0,0,0,0,0,0,0,1050825,2020-07-01,0,train
