cik,as_of,index_ok,text_ok,late_filing,covenant,delisting,auditor_change,restatement,impairment,going_concern,material_weakness,label
33213,2024-07-01,True,True,0,0,0,0,0,0,0,0,0
66382,2024-07-01,True,True,0,0,0,0,0,0,0,0,0
70318,2024-07-01,True,True,0,0,0,0,0,0,0,0,0
80424,2024-07-01,True,True,0,0,0,0,0,1,0,0,0
103379,2024-07-01,True,True,0,0,0,0,0,0,0,0,0
105319,2024-07-01,True,True,0,0,0,0,0,0,0,0,1
109198,2024-07-01,True,True,0,0,0,0,0,0,0,0,0
748790,2024-07-01,True,True,1,0,0,0,0,0,1,1,1
768835,2024-07-01,True,True,0,1,0,0,0,0,1,0,1
821189,2024-07-01,True,True,0,0,0,0,0,0,0,0,0
831259,2024-07-01,True,True,0,0,0,0,0,0,0,0,0
837852,2024-07-01,True,True,1,0,1,0,0,0,1,1,1
867773,2024-07-01,True,True,1,1,1,0,1,0,1,1,1
878927,2024-07-01,True,True,0,0,0,0,0,0,0,0,0
890447,2024-07-01,True,True,0,0,0,0,0,0,0,0,1
895419,2024-07-01,True,True,0,0,0,0,0,0,0,0,1
918646,2024-07-01,True,True,0,0,0,0,0,0,0,0,0
1008654,2024-07-01,True,True,1,0,1,1,1,0,1,1,1
1081316,2024-07-01,True,False,0,0,0,0,0,0,0,0,0
1101680,2024-07-01,True,True,1,0,1,1,1,0,0,1,1
1103982,2024-07-01,True,True,0,0,0,0,0,0,0,0,0
1108109,2024-07-01,True,True,0,0,0,0,0,0,0,0,0
1162461,2024-07-01,True,True,1,0,1,0,1,0,0,1,1
1219601,2024-07-01,True,True,0,0,0,0,0,0,0,0,0
1223389,2024-07-01,True,True,1,0,1,0,0,0,0,0,1
1357615,2024-07-01,True,True,0,0,0,0,0,0,0,0,0
1391127,2024-07-01,True,True,1,0,1,1,1,0,1,1,1
1396033,2024-07-01,True,True,0,0,0,0,0,0,1,0,1
1411688,2024-07-01,True,True,0,0,1,0,0,0,0,1,1
1423689,2024-07-01,True,True,0,0,0,0,0,0,0,0,0
1459417,2024-07-01,True,True,0,0,1,0,0,0,1,1,1
1467373,2024-07-01,True,True,0,0,0,0,0,0,0,0,0
1498710,2024-07-01,True,True,0,0,0,0,0,0,0,0,1
1537028,2024-07-01,True,True,0,0,0,1,0,0,0,0,1
1580864,2024-07-01,True,True,0,0,1,1,0,0,0,0,1
1584754,2024-07-01,True,True,0,0,1,0,0,0,1,0,1
1633917,2024-07-01,True,True,0,0,0,0,0,0,0,0,0
1656634,2024-07-01,True,True,0,0,1,0,0,0,1,0,1
1723580,2024-07-01,True,True,1,0,1,0,0,0,1,0,1
1731289,2024-07-01,True,True,0,0,1,1,0,0,1,1,1
1772695,2024-07-01,True,True,0,0,0,0,0,0,0,0,1
1779020,2024-07-01,True,True,0,0,1,0,0,0,0,0,1
1804591,2024-07-01,True,True,0,0,1,0,0,0,1,0,1
1813914,2024-07-01,True,True,1,0,1,0,1,0,0,0,1
1830210,2024-07-01,True,True,0,0,1,0,0,0,1,0,1
1834045,2024-07-01,True,True,1,0,1,0,1,1,1,1,1
1835972,2024-07-01,True,True,1,0,1,1,1,0,1,0,1
1850838,2024-07-01,True,True,0,0,0,0,0,0,1,1,1
2488,2024-10-01,True,True,0,0,0,0,0,0,0,0,0
14272,2024-10-01,True,True,0,0,0,0,0,0,0,0,0
37996,2024-10-01,True,True,0,0,0,0,0,1,0,0,0
50863,2024-10-01,True,True,0,0,0,0,0,0,0,0,0
59478,2024-10-01,True,True,0,0,0,0,0,0,0,0,0
80424,2024-10-01,True,True,0,0,0,0,0,1,0,0,0
92122,2024-10-01,True,True,0,0,0,0,0,0,0,0,0
93556,2024-10-01,True,True,0,0,0,0,0,0,0,0,0
105319,2024-10-01,True,True,0,0,0,0,0,0,0,0,1
748790,2024-10-01,True,True,1,0,0,0,0,0,1,1,1
812074,2024-10-01,True,True,0,0,0,0,0,1,0,0,0
831259,2024-10-01,True,True,0,0,0,0,0,0,0,0,0
837852,2024-10-01,True,True,1,0,1,0,0,0,1,1,1
858877,2024-10-01,True,True,0,0,0,0,0,0,0,0,0
878927,2024-10-01,True,True,0,0,0,0,0,0,0,0,0
882095,2024-10-01,True,True,0,0,0,0,0,0,0,0,0
895419,2024-10-01,True,True,0,0,0,0,0,0,0,0,1
927653,2024-10-01,True,True,0,0,0,0,0,0,0,0,0
1037976,2024-10-01,True,True,0,0,0,0,0,0,0,0,0
1043219,2024-10-01,True,True,0,0,0,0,0,0,0,0,0
1065280,2024-10-01,True,True,0,0,0,0,0,0,0,0,0
1100682,2024-10-01,True,True,0,0,0,0,0,0,0,0,0
1101680,2024-10-01,True,True,1,0,1,1,1,0,0,1,1
1162461,2024-10-01,True,True,1,0,1,0,1,0,1,1,1
1166691,2024-10-01,True,True,0,0,0,0,0,0,0,0,0
1170010,2024-10-01,True,True,0,0,0,0,0,0,0,0,0
1220754,2024-10-01,True,True,0,0,0,0,0,0,1,1,1
1326160,2024-10-01,True,True,0,0,0,0,0,1,0,0,0
1411688,2024-10-01,True,True,0,0,1,0,0,0,0,0,1
1455684,2024-10-01,True,True,0,0,0,0,0,1,0,0,1
1456772,2024-10-01,True,True,0,0,0,0,0,0,0,0,0
1498710,2024-10-01,True,True,0,0,0,0,0,0,0,0,1
1537028,2024-10-01,True,True,0,0,1,1,0,0,0,0,1
1539838,2024-10-01,True,True,0,0,0,0,0,0,0,0,0
1580864,2024-10-01,True,True,0,0,1,1,0,0,0,0,1
1584754,2024-10-01,True,True,1,0,1,0,0,0,1,0,1
1613103,2024-10-01,True,True,0,0,0,0,0,0,0,0,0
1656634,2024-10-01,True,True,0,0,1,0,0,0,1,0,1
1731289,2024-10-01,True,True,0,0,1,1,0,0,1,1,1
1744489,2024-10-01,True,True,0,0,0,0,0,1,0,0,0
1772695,2024-10-01,True,True,0,0,0,0,0,0,0,0,1
1779020,2024-10-01,True,True,0,0,1,0,0,0,0,0,1
1804591,2024-10-01,True,True,0,0,1,0,0,0,1,0,1
1813914,2024-10-01,True,True,1,0,1,0,0,0,1,1,1
1830210,2024-10-01,True,True,0,0,1,0,0,0,1,0,1
1835972,2024-10-01,True,True,1,0,1,1,1,0,0,1,1
1850838,2024-10-01,True,True,0,0,0,0,0,0,1,1,1
1893311,2024-10-01,True,True,1,0,1,0,1,0,1,1,1
10795,2025-01-01,True,True,0,0,0,0,0,0,0,0,0
50863,2025-01-01,True,True,0,0,0,0,0,0,0,0,0
105319,2025-01-01,True,True,0,0,0,0,0,0,0,0,1
109198,2025-01-01,True,True,0,0,0,0,0,0,0,0,0
200406,2025-01-01,True,True,0,0,0,0,0,0,0,0,0
318154,2025-01-01,True,True,0,0,0,0,0,0,0,0,0
719955,2025-01-01,True,True,0,0,0,0,0,0,0,0,0
720154,2025-01-01,True,True,1,0,0,0,0,0,1,1,0
748790,2025-01-01,True,True,1,0,0,0,0,0,1,1,1
797468,2025-01-01,True,True,0,0,0,0,0,0,0,0,0
882095,2025-01-01,True,True,0,0,0,0,0,0,0,0,0
895419,2025-01-01,True,True,0,0,0,0,0,0,0,0,1
1018724,2025-01-01,True,True,0,0,0,0,0,0,0,0,0
1101680,2025-01-01,True,True,1,0,1,1,1,0,0,1,1
1133421,2025-01-01,True,True,0,0,0,0,0,0,0,0,0
1159167,2025-01-01,True,True,0,1,0,0,0,0,1,0,1
1162461,2025-01-01,True,True,1,0,1,0,1,0,1,1,1
1177394,2025-01-01,True,True,0,0,0,0,0,0,0,0,0
1220754,2025-01-01,True,True,0,0,0,0,0,0,1,1,1
1324424,2025-01-01,True,True,0,0,0,0,0,0,0,0,0
1333986,2025-01-01,True,True,0,0,0,0,0,0,0,0,0
1402057,2025-01-01,True,True,0,0,0,0,0,0,0,0,0
